,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,winRate,killsPerGame,deathsPerGame,assistsPerGame,hitRate,headshotRate,winRateAlt,kdRatioAlt
124,Mr_TinyEagle24#6604078,242,3309,0.5991309071156979,8,41,7,1,12718,458,556,2.2786069651741294,201,794,68553,543183,271.89170305676856,81271,5523,0.9718875502008032,16.46268656716418,27.47761194029851,3.9502487562189055,0.15648878443725314,0.006841308707903188,5.154216015061431,3.177373880276567
125,mohbeau95#5524583,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Rmarssella2#8070556,7,2,0.1538461538461538,0,1,0,0,0,7,0,7.0,0,0,0,1150,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,lillelund91#2522553,85,1101,0.5113794705062703,8,23,5,13,3641,167,167,2.256756756756757,74,280,30710,205628,413.3461077844311,34351,2153,0.9444444444444444,14.878378378378379,29.094594594594593,3.7837837837837838,0.10599400308579081,0.004861576082210125,4.064950365803939,2.2010105283872696
128,AllinatAlomar#9003682,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,micasnysom#2811534,7,16,1.0,0,2,0,0,0,8,6,8.0,0,0,0,6625,0.0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,ghost_adan123#4376935,10,111,0.5634517766497462,4,7,1,110,325,37,16,18.5,2,21,1581,29512,53.72432432432433,1906,197,0.9090909090909091,55.5,98.5,10.5,0.17051416579223505,0.008394543546694649,0.6301338005090411,0.3905550103662636
136,altayehhamza#6513767,12,277,0.8496932515337423,9,10,4,15,1268,24,60,2.1818181818181817,11,87,7689,50070,235.575,8957,326,0.75,25.181818181818183,29.636363636363637,7.909090909090909,0.1415652562241822,0.00669867143016635,1.798421454598778,2.037475431181438
138,OOPS_U_DIED71#2527129,22,156,0.6638297872340425,5,5,8,0,574,35,32,3.1818181818181817,11,20,2611,20975,271.1828571428572,3185,235,0.7333333333333333,14.181818181818182,21.363636363636363,1.8181818181818181,0.18021978021978022,0.010047095761381476,1.7584565333854718,1.5917943087512587
139,TTIN-MAN-99#5708666,0,4,0.2222222222222222,0,2,0,110,0,9,0,9.0,0,4,0,3875,0.0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,jojonino7#8789302,8,8,0.25,0,2,0,0,0,11,1,11.0,0,0,0,5466,0.0,0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,OgBabytelli#5877408,180,1390,1.0072463768115942,11,32,10,24,4887,284,245,3.55,80,200,22808,346200,163.3119718309859,27695,1380,0.9473684210526315,17.375,17.25,2.5,0.1764578443762412,0.00884636215923452,4.151393653901572,4.41378045086717
144,Pessadilla#8628194,0,8,0.8888888888888888,0,2,0,110,0,4,2,4.0,0,1,0,6975,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Mellymelz,151,2307,0.7169049098819142,12,39,7,111,4658,378,357,4.725,80,462,36388,492833,131.44126984126984,41046,3218,0.9556962025316456,28.8375,40.225,5.775,0.1134824343419578,0.008697558836427423,4.187886214150355,3.141496409631027
147,Angelpro7771013#5002628,0,0,0.0,0,1,1,110,0,1,0,1.0,0,0,0,100,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Biggie cheese#3896736,283,9272,0.9055571833186836,10,98,6,111,33173,644,2106,3.037735849056604,212,2167,119983,1496093,199.98447204968943,153156,10239,0.9792387543252595,43.735849056603776,48.29716981132076,10.221698113207546,0.2165961503303821,0.013750685575491656,5.245376871045604,4.850695179095508
150,AlessioGordillo1#5105858,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,lucithepoessie#1567630,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,qazws1577#9667938,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Speeddemon358,264,10469,1.1862889518413595,15,115,16,110,21840,726,1505,2.75,264,1120,93548,1818399,219.40743801652889,115388,8825,0.9428571428571428,39.65530303030303,33.428030303030305,4.242424242424242,0.1892744479495268,0.013042950740111624,5.257323440109383,6.6146868170922115
157,ArrivingSage684#2261357,0,3,0.1764705882352941,0,1,0,110,0,8,0,8.0,0,0,0,1850,0.0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Dyneer89#7222136,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Poison#2907106,136,3161,1.139920663541291,10,40,8,6,10014,310,602,2.7678571428571432,112,589,32049,536323,169.26387096774192,42063,2773,0.9444444444444444,28.223214285714285,24.758928571428573,5.258928571428571,0.23807146423222308,0.014311865535030787,4.456360045112033,5.378714364285536
